code,open,name,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09
EWQ,31.77,法国ETF-iShares MSCI,6.429968,1.1276620000000002,4.944037000000001,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WSR,13.6,Whitestone REIT,56.253972999999995,1.61158,0.242294,1755000.0_-14.10%_0_0,3234000.0_107.71%_0_0,2025000.0_257.14%_0_0,3140000.0_225.73%_0_0,1755000.0,-14.10%,0,0,3234000.0,107.71%,0,0,2025000.0,257.14%,0,0,3140000.0,225.73%,0,0
MX,9.8,Magnachip Semiconductor,10.902782,-9.974397999999999,0.89623,-21505000.0_-166.84%_200000000.0_19.80%,2763000.0_-93.68%_166000000.0_2.54%,43653000.0_187.67%_175000000.0_-3.26%,5604000.0_-81.24%_177000000.0_-8.11%,-21505000.0,-166.84%,200000000.0,19.80%,2763000.0,-93.68%,166000000.0,2.54%,43653000.0,187.67%,175000000.0,-3.26%,5604000.0,-81.24%,177000000.0,-8.11%
SPLV,50.25,PowerShares S&P 500 Low Volatility,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEF,50.43,Guggenheim Defensive Equity ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPR,50.33,Tapestry Inc.,36.222468,4.478693,1.392782,212000000.0_39.55%_1484000000.0_30.86%,140000000.0_14.81%_1322000000.0_32.88%,63200000.0_-68.35%_1785000000.0000002_35.05%,-17700000.0_-115.08%_1289000000.0_24.22%,212000000.0,39.55%,1484000000.0,30.86%,140000000.0,14.81%,1322000000.0,32.88%,63200000.0,-68.35%,1785000000.0000002,35.05%,-17700000.0,-115.08%,1289000000.0,24.22%
TRC,23.24,Tejon Ranch Co,502.236287,1.4901200000000001,0.045835,-1013000.0_-399.01%_5070000.0_-14.98%,1455000.0_176.06%_13469000.0_136.22%,361000.0_234.20%_11682000.0_-7.99%,-26000.0_-108.20%_11908000.0_-8.95%,-1013000.0,-399.01%,5070000.0,-14.98%,1455000.0,176.06%,13469000.0,136.22%,361000.0,234.20%,11682000.0,-7.99%,-26000.0,-108.20%,11908000.0,-8.95%
EIG,46.2,Employers控股,12.457532,1.580601,3.704586,42500000.0_71.37%_0_0,25600000.0_10.34%_0_0,31300000.0_-11.83%_0_0,21900000.0_-3.10%_0_0,42500000.0,71.37%,0,0,25600000.0,10.34%,0,0,31300000.0,-11.83%,0,0,21900000.0,-3.10%,0,0
STC,45.45,Stewart Information Services Cor,23.711117,1.618809,1.898582,25719000.0_16.09%_0_0,-1961000.0_-132.63%_0_0,18070000.0_-10.51%_0_0,13911000.0_-53.27%_0_0,25719000.0,16.09%,0,0,-1961000.0,-132.63%,0,0,18070000.0,-10.51%,0,0,13911000.0,-53.27%,0,0
IIM,13.8821,IIM保险市收入基金,22.534564000000003,0.88044,0.617274,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOE,116.0,Vanguard Index Funds Mid Cap Val,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KXI,51.11,iShares S&P Global Consumer Stap,17.732968,0.0,2.88333,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCI,23.32,法维翰咨询,11.158057000000001,1.475856,2.087281,28826000.0_227.68%_165000000.0_3.22%,11853000.0_6.82%_161000000.0_3.68%,43120000.0_219.31%_231000000.0_-3.75%,11939000.0_-30.49%_238000000.0_0.16%,28826000.0,227.68%,165000000.0,3.22%,11853000.0,6.82%,161000000.0,3.68%,43120000.0,219.31%,231000000.0,-3.75%,11939000.0,-30.49%,238000000.0,0.16%
SCD,13.96,LMP Capital & Income Fund,20664.697971,0.971669,0.000677,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTS,32.5,Fortis Inc,18.558518,1.29989,1.7593,0_0_0_0,0_0_0_0,0_0_0_0,321000000.0_103.16%_0_0,0,0,0,0,0,0,0,0,0,0,0,0,321000000.0,103.16%,0,0
NCA,9.37,纽文加州市政价值基金,27.347684,0.919934,0.342625,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC,23.55,富兰克林柯维,0.0,4.174149,-0.216889,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCO,47.35,格涅斯科,0.0,1.15856,-5.781162,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAT,37.63,American Assets Trust Inc,94.109243,2.187034,0.400492,4413000.0_-41.84%_0_0,-691000.0_-106.70%_0_0,9731000.0_-21.57%_0_0,12505000.0_5.46%_0_0,4413000.0,-41.84%,0,0,-691000.0,-106.70%,0,0,9731000.0,-21.57%,0,0,12505000.0,5.46%,0,0
QUS,84.31,SPDR MSCI USA Quality Mix ETF,82.656864,0.0,1.02,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOAT,47.32,Market Vectors Wide Moat Etf,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPYD,38.22,SPDR S&P 500 High Dividend ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBIE,28.38,WBI Large Cap Tactical Growth Shares,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSI,54.41,PowerShares Exchange-Traded Fund,10.371281,0.905608,5.2467,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAT,156.56,卡特彼勒,29.857769,6.244431,5.235823,1705000000.0_112.33%_13279000000.0_24.81%,1667000000.0000002_759.28%_12150000000.0_33.08%,-1299000000.0_-11.31%_12194000000.0_37.24%,1061000000.0_274.91%_10713000000.0_26.59%,1705000000.0,112.33%,13279000000.0,24.81%,1667000000.0000002,759.28%,12150000000.0,33.08%,-1299000000.0,-11.31%,12194000000.0,37.24%,1061000000.0,274.91%,10713000000.0,26.59%
NHI,75.36,National Health Investors,20.550611,2.348884,3.689428,37839000.0_-1.06%_0_0,38432000.0_-13.11%_0_0,37799000.0_-8.23%_0_0,39092000.0_16.91%_0_0,37839000.0,-1.06%,0,0,38432000.0,-13.11%,0,0,37799000.0,-8.23%,0,0,39092000.0,16.91%,0,0
EAI,23.7,"Entergy Arkansas, Inc",6.943016,0.391385,3.413502,82556000.0_114.15%_0_0,36255000.0_153.46%_0_0,-5648000.0_-245.60%_0_0,92638000.0_-15.90%_0_0,82556000.0,114.15%,0,0,36255000.0,153.46%,0,0,-5648000.0,-245.60%,0,0,92638000.0,-15.90%,0,0
AKR,28.33,阿卡迪亚房地产信托,48.962219,1.552877,0.580856,-2270000.0_-137.16%_0_0,-4160000.0_-120.83%_0_0,24944000.0_-27.14%_0_0,"13285000.0_3,975.15%_0_0",-2270000.0,-137.16%,0,0,-4160000.0,-120.83%,0,0,24944000.0,-27.14%,0,0,13285000.0,"3,975.15%",0,0
IAE,9.5,ING Asia Pacific High Dividend E,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,17.68,Eaton Vance Enhanced Equity Inco,6.47734,1.059779,2.72598,33529400.0_-23.39%_0_0,33529400.0_-23.39%_0_0,31456100.0_125.38%_0_0,31456100.0_125.38%_0_0,33529400.0,-23.39%,0,0,33529400.0,-23.39%,0,0,31456100.0,125.38%,0,0,31456100.0,125.38%,0,0
VICI,21.44,Vici Properties,23.894444,1.3047309999999999,0.8983260000000001,141000000.0_0_0_0,113999999.99999999_0_0_0,44537000.0_0_0_0,0_0_0_0,141000000.0,0,0,0,113999999.99999999,0,0,0,44537000.0,0,0,0,0,0,0,0
NOA,9.35,North American Energy Partners,22.200242000000003,1.9874470000000002,0.41753599999999996,33000.0_100.53%_79471000.0_66.87%,11131000.0_15.96%_114999999.99999999_23.55%,2450000.0_592.96%_82046000.0_31.90%,-585000.0_59.26%_70045000.0_45.26%,33000.0,100.53%,79471000.0,66.87%,11131000.0,15.96%,114999999.99999999,23.55%,2450000.0,592.96%,82046000.0,31.90%,-585000.0,59.26%,70045000.0,45.26%
AVX,19.25,AVX Corp.,110.34799699999999,1.445834,0.173995,55963000.0_77.75%_454000000.0_37.05%,31820000.0_-6.02%_447000000.0_35.52%,-93212000.0_-362.43%_432000000.0_26.70%,34818000.0_31.29%_353000000.0_7.71%,55963000.0,77.75%,454000000.0,37.05%,31820000.0,-6.02%,447000000.0,35.52%,-93212000.0,-362.43%,432000000.0,26.70%,34818000.0,31.29%,353000000.0,7.71%
VYM,89.41,Vanguard High Dividend Yield ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARI,19.22,阿波罗商业房地产,11.871807,1.0114670000000001,1.622331,55346000.0_52.74%_0_0,49433000.0_4.90%_0_0,41317000.0_-30.00%_0_0,68356000.0_-2.20%_0_0,55346000.0,52.74%,0,0,49433000.0,4.90%,0,0,41317000.0,-30.00%,0,0,68356000.0,-2.20%,0,0
DOC,16.87,Physicians Realty Trust,69.895537,1.268785,0.242004,12062000.0_16.76%_0_0,11332000.0_68.73%_0_0,10187000.0_18.18%_0_0,12539000.0_21.81%_0_0,12062000.0,16.76%,0,0,11332000.0,68.73%,0,0,10187000.0,18.18%,0,0,12539000.0,21.81%,0,0
ZBH,131.58,Zimmer Biomet Holdings Inc,15.682592999999999,2.213284,8.352636,185000000.0_0.43%_2007999999.9999998_2.98%,176000000.0_-41.13%_2018000000.0_2.29%,"1231000000.0_1,666.43%_2073999999.9999998_3.04%",98800000.0_-37.43%_1818000000.0_-0.80%,185000000.0,0.43%,2007999999.9999998,2.98%,176000000.0,-41.13%,2018000000.0,2.29%,1231000000.0,"1,666.43%",2073999999.9999998,3.04%,98800000.0,-37.43%,1818000000.0,-0.80%
RZV,78.6924,Rydex ETF Trust S&P Smallcap 600,22.633897,0.0,3.47675,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDY,99.64,股息指数ETF-SPDR S&P,31.231161,0.0,3.19008,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JKD,170.19,iShares Morningstar Large-Cap ETF,14.455029000000001,1.062883,11.769607,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUNR,34.03,FlexShares Global Upstream Natur,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEU,34.111999999999995,SPDR DJ STOXX 50 Fund,24.82934,0.0,1.3769999999999998,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAN,29.7408,SerenityShares Impact ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROG,148.16,罗杰斯,35.482305,3.367697,4.154465,17329000.0_-17.07%_215000000.0_6.58%,26136000.0_-3.31%_215000000.0_5.29%,6999000.0_-41.25%_209000000.0_20.81%,25532000.0_58.93%_206999999.99999997_25.13%,17329000.0,-17.07%,215000000.0,6.58%,26136000.0,-3.31%,215000000.0,5.29%,6999000.0,-41.25%,209000000.0,20.81%,25532000.0,58.93%,206999999.99999997,25.13%
DWM,54.056000000000004,WisdomTree Trust DIEFA Fund,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIEQ,29.6,AI Powered Equity ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTG,16.34,Tortoise MLP Fund Inc,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEMV,59.13,iShares MSCI Emerging Markets Mi,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWE,59.06,NorthWestern Corp,15.615962,1.570427,3.792914,43787000.0_100.58%_0_0,58499000.0_3.42%_0_0,47894000.0_8.53%_0_0,36412000.0_-18.37%_0_0,43787000.0,100.58%,0,0,58499000.0,3.42%,0,0,47894000.0,8.53%,0,0,36412000.0,-18.37%,0,0
RSP,108.69,平均加权指数ETF-Rydex S&P,7.216022,1.142988,15.067860000000001,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROOF,26.129,IQ US Real Estate Small Cap ETF,21.071773999999998,0.0,1.24,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HY,67.71,Hyster-Yale Materials Handling C,32.186594,2.0050689999999998,2.096991,5700000.0_-65.24%_766000000.0_11.68%,14900000.0_-17.68%_788000000.0_10.53%,-2300000.0_-119.01%_796000000.0_15.19%,16700000.0_39.17%_691000000.0_9.82%,5700000.0,-65.24%,766000000.0,11.68%,14900000.0,-17.68%,788000000.0,10.53%,-2300000.0,-119.01%,796000000.0,15.19%,16700000.0,39.17%,691000000.0,9.82%
TLI,10.0027,LMP Corporate Loan Fund,30.023911,0.8850610000000001,0.33373400000000003,0_0_0_0,1408800.0_-54.84%_0_0,1408800.0_-54.84%_0_0,250300.0_-95.68%_0_0,0,0,0,0,1408800.0,-54.84%,0,0,1408800.0,-54.84%,0,0,250300.0,-95.68%,0,0
FNDX,40.345,Schwab Fundamental U.S. Large Company Index ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECON,22.81,EGShares Emerging Markets,10.456422,0.0,2.18,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVO,47.4,诺和诺德,17.74371,11.883527,2.682297,10343000000.0_3.94%_27407000000.0_-4.30%,10751000000.0_5.86%_26930000000.0_-5.35%,8253000000.0_-5.13%_27992000000.0_-5.34%,9770000000.0_-0.34%_26614000000.0_-3.35%,10343000000.0,3.94%,27407000000.0,-4.30%,10751000000.0,5.86%,26930000000.0,-5.35%,8253000000.0,-5.13%,27992000000.0,-5.34%,9770000000.0,-0.34%,26614000000.0,-3.35%
UNMA,24.92,Unum Group,5.161494,0.0,4.835654,285000000.0_16.48%_0_0,273000000.0_18.96%_0_0,267000000.0_7.62%_0_0,252000000.0_6.91%_0_0,285000000.0,16.48%,0,0,273000000.0,18.96%,0,0,267000000.0,7.62%,0,0,252000000.0,6.91%,0,0
JRO,10.1743,Nuveen Floating Rate Income Oppo,19.835824,0.8903540000000001,0.513717,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEMS,36.07,First Trust Emerging Markets Sma,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB,30.75,联博控股,12.320029,1.962102,2.492689,58457000.0_40.05%_0_0,58160000.0_32.45%_0_0,78593000.0_8.16%_0_0,43178000.0_-14.09%_0_0,58457000.0,40.05%,0,0,58160000.0,32.45%,0,0,78593000.0,8.16%,0,0,43178000.0,-14.09%,0,0
ACN,174.42,埃森哲,27.412072,11.410392,6.364714,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMF,49.5837,First Trust Morningstar Managed,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEH,25.62,Aegon NV,18.788162,1.8796990000000002,1.365216,246000000.0_-61.03%_0_0,246000000.0_-35.05%_0_0,967000000.0_54.72%_0_0,494000000.00000006_44.02%_0_0,246000000.0,-61.03%,0,0,246000000.0,-35.05%,0,0,967000000.0,54.72%,0,0,494000000.00000006,44.02%,0,0
ZTO,18.01,中通快递,20.792074,2.995014,0.8659549999999999,1492000000.0_108.14%_4197999999.9999995_41.28%,557000000.0_10.85%_3544000000.0_35.56%,1222000000.0_65.16%_4331000000.0_35.74%,717000000.0_31.08%_3143000000.0_33.57%,1492000000.0,108.14%,4197999999.9999995,41.28%,557000000.0,10.85%,3544000000.0,35.56%,1222000000.0,65.16%,4331000000.0,35.74%,717000000.0,31.08%,3143000000.0,33.57%
CRBN,121.06,iShares MSCI ACWI Low Carbon Target ETF,0.0,0.0,-0.11,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UN,56.22,联合利华,20.833633,11.817686,2.7182009999999996,1618000000.0_-2.41%_13176000000.0_-4.95%,1618000000.0_-2.41%_13176000000.0_-4.95%,1585000000.0_11.70%_12994999999.999998_-1.66%,1585000000.0_11.70%_12994999999.999998_-1.66%,1618000000.0,-2.41%,13176000000.0,-4.95%,1618000000.0,-2.41%,13176000000.0,-4.95%,1585000000.0,11.70%,12994999999.999998,-1.66%,1585000000.0,11.70%,12994999999.999998,-1.66%
VTV,113.39,Vanguard Value ETF,20.166515,0.628725,5.61872,-375000000.0_-127.82%_0_0,-375000000.0_-127.82%_0_0,3297000000.0_38.76%_0_0,3297000000.0_38.76%_0_0,-375000000.0,-127.82%,0,0,-375000000.0,-127.82%,0,0,3297000000.0,38.76%,0,0,3297000000.0,38.76%,0,0
IVE,118.64,标普500价值指数ETF-iShares,15.505831,1.064871,7.65067,0_0_0_0,185000000.0_-69.97%_0_0,185000000.0_-69.97%_0_0,328000000.0_-4.24%_0_0,0,0,0,0,185000000.0,-69.97%,0,0,185000000.0,-69.97%,0,0,328000000.0,-4.24%,0,0
JPUS,75.7565,JPMorgan Diversified Return U.S. Equity ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNQ,82.68,不动产信托指数ETF-Vanguard,248.95593,0.55925,0.333312,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCE,15.57,Nuveen Core Equity Alpha Fund,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACWV,88.03,iShares Edge MSCI Min Vol Global ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCHV,57.46,Schwab U.S. Large -Cap Value ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIE,10.47,Cohen & Steers MLP Income an,348.666674,70.31559200000001,0.03,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHG,52.41,Westwood Holdings Group Inc,18.92342,3.250531,2.773283,7992000.0_15.89%_32587000.0_-2.56%,7978000.0_31.56%_33427000.0_4.56%,2897000.0_-61.77%_33627000.0_8.20%,4132000.0_-29.81%_33192000.0_5.83%,7992000.0,15.89%,32587000.0,-2.56%,7978000.0,31.56%,33427000.0,4.56%,2897000.0,-61.77%,33627000.0,8.20%,4132000.0,-29.81%,33192000.0,5.83%
KDP,23.65,Keurig Dr Pepper Inc,0.180315,4.416924,131.409088,0_0_0_0,88701000.0_48.27%_948000000.0_-2.07%,619000000.0_327.34%_1171000000.0_-3.55%,0_0_0_0,0,0,0,0,88701000.0,48.27%,948000000.0,-2.07%,619000000.0,327.34%,1171000000.0,-3.55%,0,0,0,0
CAPE,133.0,Barclays Bank PLC,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AYR,21.22,爱卡索,7.565991,0.8434219999999999,2.799369,50203000.0_805.49%_178000000.0_-18.14%,57547000.0_35.60%_189000000.0_-6.60%,55120000.0_-18.61%_170000000.0_-15.07%,57431000.0_109.32%_186000000.0_-1.38%,50203000.0,805.49%,178000000.0,-18.14%,57547000.0,35.60%,189000000.0,-6.60%,55120000.0,-18.61%,170000000.0,-15.07%,57431000.0,109.32%,186000000.0,-1.38%
IYR,81.78,房地产指数ETF-iShares道琼斯,0.0,1.200732,-0.080355,0_0_0_0,-70704800.0_-139.82%_0_0,-70704800.0_-139.82%_0_0,68790400.0_-37.83%_0_0,0,0,0,0,-70704800.0,-139.82%,0,0,-70704800.0,-139.82%,0,0,68790400.0,-37.83%,0,0
IWX,54.95,iShares Russell Top 200 Value In,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TECS,18.39,Direxion DailyTechnology Bear 3x,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RLY,26.58,SPDR SSgA Multi-Asset Real Return ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPXX,16.9,Nuveen S&P 500 Dynamic Overwrite Fund,11.719750999999999,1.0412299999999999,1.443017,1423800.0_-85.39%_0_0,1423800.0_-85.39%_0_0,10243699.999999998_44.20%_0_0,10243699.999999998_44.20%_0_0,1423800.0,-85.39%,0,0,1423800.0,-85.39%,0,0,10243699.999999998,44.20%,0,0,10243699.999999998,44.20%,0,0
RGT,10.63,Royce Global Value Trust Inc.,0.0,0.0,-0.09,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DON,37.48,WisdomTree Trust MidCap Dividend,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NKE,85.96,耐克,71.84876899999999,13.951838,1.190417,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCI,111.97,冠城,118.408216,3.7175809999999996,0.951032,180000000.0_60.71%_0_0,113999999.99999999_-4.20%_0_0,98104000.0_-21.33%_0_0,114999999.99999999_17.11%_0_0,180000000.0,60.71%,0,0,113999999.99999999,-4.20%,0,0,98104000.0,-21.33%,0,0,114999999.99999999,17.11%,0,0
IPAC,58.8446,iShares Core MSCI Pacific ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCOR,48.4801,Fidelity Corporate Bond ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCY,26.905,PowerShares Emerging Markets Sov,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWJ,59.85,日本ETF-iShares MSCI,6.079738,0.746077,9.872135,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTX,143.68,联合技术,22.123273,3.625218,6.423557,2139000000.0_39.62%_16705000000.000002_9.33%,1368000000.0_-6.81%_15241999999.999998_10.33%,486000000.00000006_-56.33%_15680000000.000002_6.97%,1434000000.0_-8.72%_15062000000.0_4.93%,2139000000.0,39.62%,16705000000.000002,9.33%,1368000000.0,-6.81%,15241999999.999998,10.33%,486000000.00000006,-56.33%,15680000000.000002,6.97%,1434000000.0,-8.72%,15062000000.0,4.93%
GMZ,9.31,Goldman Sachs MLP Income Opportu,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEP,115.26,百事可乐,35.640559,16.146291,3.2387259999999998,1830000000.0_-13.60%_16090000000.0_2.42%,1353000000.0_1.81%_12562000000.0_4.26%,-695000000.0_-149.05%_19526000000.0_0.06%,2156000000.0_7.58%_16240000000.0_1.33%,1830000000.0,-13.60%,16090000000.0,2.42%,1353000000.0,1.81%,12562000000.0,4.26%,-695000000.0,-149.05%,19526000000.0,0.06%,2156000000.0,7.58%,16240000000.0,1.33%
FAZ,8.81,三倍做空金融ETF-Direxion,0.0,0.0,-1824.386963,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFL,13.8,Ship Finance International Ltd,15.583732999999999,1.275932,0.887143,15766000.0_-21.61%_79450000.0_-4.68%,24655000.0_-23.63%_82731000.0_0.76%,20085000.0_-29.60%_85947000.0_-0.51%,28731000.0_-10.96%_83652000.0_1.88%,15766000.0,-21.61%,79450000.0,-4.68%,24655000.0,-23.63%,82731000.0,0.76%,20085000.0,-29.60%,85947000.0,-0.51%,28731000.0,-10.96%,83652000.0,1.88%
POST,99.55,Post Holdings,13.711602,2.1614150000000003,7.260275,96800000.0_262.96%_1607999999.9999998_26.41%,"91800000.0_4,471.43%_1586000000.0_26.34%",295000000.0_189.98%_1433000000.0_14.67%,14200000.0_138.38%_1448000000.0_14.89%,96800000.0,262.96%,1607999999.9999998,26.41%,91800000.0,"4,471.43%",1586000000.0,26.34%,295000000.0,189.98%,1433000000.0,14.67%,14200000.0,138.38%,1448000000.0,14.89%
TMK,88.55,托马科,6.646973,1.7898310000000002,13.312826000000001,184000000.0_31.48%_0_0,174000000.0_30.00%_0_0,1027000000.0_660.74%_0_0,153000000.0_0.96%_0_0,184000000.0,31.48%,0,0,174000000.0,30.00%,0,0,1027000000.0,660.74%,0,0,153000000.0,0.96%,0,0
JKI,165.48,iShares Morningstar Mid Value In,12.904781,1.13208,12.860294999999999,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
